stars,comment
1.0 out of 5 stars,"Brightness is very low. I was using OnePlus 5. 20% of brightness in OnePlus 5 is equal to 65% brightness in 6T which may cause  in draining the battery. Not happy with it. Also unlocking with fingerprint is not up to the mark. Totally not so happy with it. Thinking to return it and use OnePlus 5 only
            "
5.0 out of 5 stars,"First and foremost...I really dont miss those 3.5 mm jack. Using bluetooth earpiece and the sound quality is top notch.Picture quality - initial shots taken are impressive.Battery life is best among all one plus phones.Build quality is superb. No issues with call clarity and now the best part...Oxygen OS. Its buttery smooth, fluidic and unputdownable. You will ne addicted to it.Only con is the weight of the device.
            "
1.0 out of 5 stars,"Phone is getting hanged and face unlock is not working. I received a phone on 8th November and logged a call with amazon on 9th november that my phone is getting hanged frequently and face unlock is not working properly. They have scheduled the technician visit on 11th November, however, technician not visited. I called amazon related technician, executive told me that technician not visited due to some personal reasons. They don't bother to inform customer if technician are not going to visit.Worst experience faced ever.Don't buy anything from Amazon.I have requested for replacement,but they're denying for replacement.
            "
5.0 out of 5 stars,"Impressive at this price point. Only disappointment is  absence 3.5 mm headphone jack. Had Oneplus supplied bullets headphone as default accessory, it would have been a complete package. Apple, learn from it, else your days are numbered.
            "
5.0 out of 5 stars,"I pre-ordered the phone on 9th Oct and literally waited for more than a month for this phone. It was worth waiting.Phone looks similar to one plus 6 however the technology you get in this phone is updated and is latest. The notch looks beautiful compared to other waterdrop notch phones. I'm not an audiphile so can't complain much about the removal of headphone jack. I'm pretty comfortable with wireless earphones. The OS is something which needs to be considered the most on a phone, which most of the people ignore. I migrated from a Sony phone and see a huge difference in the usage, the OS is smooth as butter and is calibrated for daily driver. You can perform many tasks at a snap of your fingers and never experience a lag on the phone. Camera is good, clicks are clear. Portrait and night mode are very useful and handy. Slow motion works well. Battery life is comparably good, you get around 6 hrs of SOT from a full charge. I feel that's more than enough for a daily driver and works well for gamers. Charging is pretty fast you can charge the phone from 0 to 100 in 1 hr 20min.I feel it's worth paying 40k for a premium phone like this, which offers good support for your OS and provides Android updates for 2 yrs. Rather than spending 25k+ for plastic and non premium phones. BTW this comes with no bloatware and is completely based on stock OS which contains a lot of tweaks and customizatios. That's the best part of the phone.Go for it if you don't want to compromise !!
            "
1.0 out of 5 stars,"Pros: Hardware supports good speed and camera.Cons: Screen unlock doesn't work most of the time. Fingerprint is not upto mark and takes a few tries. Also Google smart Lock is not working. There was a defect on the screen protector applied and Amazon says that they product will not be replaced and they cannot do anything about it. Oneplus says buy a new tempered glass and put it!! Fingerprint sensor is hardly able to cope with the normal plastic protector. I don't know how will it work with a thick one. This was the first time I had problem with a product from Amazon and they showed their true colors. Sameer goes for OnePlus.
            "
1.0 out of 5 stars,"Don't buy this Mobile worst network connectivity also no support any service centres, in Maharashtra only 4 services centre unfortunately at my location 300 km from me I was so sad call centre suggest me you visit to service centre to resolve issues .....very slow browsing like 2G phones ...... camera is good but without connecting network it's like only photographer camera...
            "
1.0 out of 5 stars,"If yuh are a Iphone user please stay away.,Yu’ll definetely nt like it
            "
4.0 out of 5 stars,"Picture quality is good. Battery life is decent. Sound quality is okay. It's not a beast in any regards considering it's price and the flagship killer tag. You may miss the notification led and the 3.5 mm audio jack. The in screen fingerprint reader is a cool feature but surely feels that first gen not so smooth feature. It just gives you the feeling of not buying a finished product but a work in progress kind of a thing. Not many things to complaint about since it does give you good specifications for a decent price but.. it's no longer a flagship killer to stay. One plus may very well be the new apple. I'd hate to see that happen, but they're in the business for profit afterall. It can't always all be about the community. But I see them get run over by budget phones if their competition could maintain quality
            "
3.0 out of 5 stars,"Everything is good about the phone except some software bugs like gestures dnt work flawlessly and i have issue with paint coming out from the top part of the phone near the ear piece
            "
